epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,103.841,1.94099,1.50792,1.24323,0.84395,0.64048,0.66509,0.36614,1.57116,1.26664,1.23936,0.0011882,0.0011882,0.0011882
43,106.288,1.79258,1.75504,1.21305,0.8797,0.63158,0.67033,0.38291,1.51368,1.20417,1.22049,0.0011684,0.0011684,0.0011684
44,108.854,1.80984,1.64585,1.23088,0.84797,0.58713,0.65412,0.37469,1.53644,1.2359,1.20904,0.0011486,0.0011486,0.0011486
45,111.306,1.80467,1.6858,1.2014,0.84797,0.58713,0.65412,0.37469,1.53644,1.2359,1.20904,0.0011288,0.0011288,0.0011288
46,113.974,1.67607,1.38555,1.18913,0.80521,0.54392,0.62182,0.3532,1.5539,1.26276,1.20195,0.001109,0.001109,0.001109
47,116.612,1.92831,1.52417,1.1682,0.7089,0.5928,0.63074,0.34007,1.56996,1.25789,1.20964,0.0010892,0.0010892,0.0010892
48,119.083,1.73035,1.57642,1.18756,0.7089,0.5928,0.63074,0.34007,1.56996,1.25789,1.20964,0.0010694,0.0010694,0.0010694
49,121.716,1.73476,1.76747,1.26128,0.76995,0.625,0.65777,0.36389,1.57332,1.21168,1.21721,0.0010496,0.0010496,0.0010496
50,124.252,1.72105,2.06706,1.29727,0.76995,0.625,0.65777,0.36389,1.57332,1.21168,1.21721,0.0010298,0.0010298,0.0010298
51,126.885,1.70606,1.41756,1.12934,0.83839,0.61433,0.67082,0.37676,1.56982,1.17462,1.22397,0.00101,0.00101,0.00101
52,129.327,1.8873,1.82163,1.28545,0.84753,0.65826,0.68001,0.38388,1.56038,1.22422,1.22558,0.0009902,0.0009902,0.0009902
53,131.872,1.70951,1.58845,1.21645,0.84753,0.65826,0.68001,0.38388,1.56038,1.22422,1.22558,0.0009704,0.0009704,0.0009704
54,134.439,1.93886,1.6229,1.16236,0.89619,0.65132,0.68145,0.38242,1.56567,1.24234,1.22208,0.0009506,0.0009506,0.0009506
55,137.043,1.86046,1.44241,1.20742,0.90687,0.64066,0.67346,0.37426,1.56125,1.18999,1.21934,0.0009308,0.0009308,0.0009308
56,139.64,1.62387,1.80298,1.16031,0.90687,0.64066,0.67346,0.37426,1.56125,1.18999,1.21934,0.000911,0.000911,0.000911
57,142.203,1.59685,1.26039,1.12113,0.87987,0.63816,0.66277,0.36076,1.56958,1.16408,1.22576,0.0008912,0.0008912,0.0008912
58,145.096,1.94768,1.53755,1.19091,0.87987,0.63816,0.66277,0.36076,1.56958,1.16408,1.22576,0.0008714,0.0008714,0.0008714
59,147.827,1.62104,1.53248,1.20163,0.92007,0.59868,0.66078,0.36686,1.54543,1.16097,1.21496,0.0008516,0.0008516,0.0008516
60,150.766,1.79794,1.51456,1.2003,0.87441,0.61184,0.66242,0.37271,1.5287,1.15755,1.20058,0.0008318,0.0008318,0.0008318
61,153.42,1.62124,1.34033,1.15987,0.87441,0.61184,0.66242,0.37271,1.5287,1.15755,1.20058,0.000812,0.000812,0.000812
62,156.198,1.64207,1.19951,1.12721,0.84394,0.64474,0.66619,0.37612,1.50908,1.14411,1.18785,0.0007922,0.0007922,0.0007922
63,158.883,1.72164,1.40656,1.16292,0.83574,0.66945,0.67138,0.38099,1.51559,1.12722,1.19296,0.0007724,0.0007724,0.0007724
64,161.502,1.49184,1.11548,1.09671,0.83574,0.66945,0.67138,0.38099,1.51559,1.12722,1.19296,0.0007526,0.0007526,0.0007526
65,164.148,1.53692,1.23057,1.11799,0.84877,0.65132,0.68268,0.3869,1.54107,1.08889,1.20395,0.0007328,0.0007328,0.0007328
66,166.736,1.537,1.16288,1.14039,0.84877,0.65132,0.68268,0.3869,1.54107,1.08889,1.20395,0.000713,0.000713,0.000713
67,169.442,1.60554,1.28568,1.12275,0.89139,0.65132,0.69146,0.39566,1.52395,1.052,1.19918,0.0006932,0.0006932,0.0006932
68,172.138,1.60589,1.18894,1.16836,0.92382,0.64474,0.69502,0.39526,1.51513,1.02552,1.19926,0.0006734,0.0006734,0.0006734
69,174.753,1.66945,1.40465,1.20654,0.92382,0.64474,0.69502,0.39526,1.51513,1.02552,1.19926,0.0006536,0.0006536,0.0006536
70,177.436,1.63973,1.26373,1.16326,0.92904,0.64474,0.69639,0.39799,1.53879,1.02177,1.20901,0.0006338,0.0006338,0.0006338
71,180.214,1.68078,1.36002,1.19235,0.92454,0.64489,0.69686,0.39579,1.56826,1.03289,1.20645,0.000614,0.000614,0.000614
72,182.907,1.54848,1.30143,1.16344,0.92454,0.64489,0.69686,0.39579,1.56826,1.03289,1.20645,0.0005942,0.0005942,0.0005942
73,185.652,1.54118,1.72756,1.11875,0.92688,0.58378,0.67463,0.37681,1.61565,1.17511,1.22082,0.0005744,0.0005744,0.0005744
74,188.67,1.65963,1.32241,1.14238,0.92688,0.58378,0.67463,0.37681,1.61565,1.17511,1.22082,0.0005546,0.0005546,0.0005546
75,191.617,1.57244,1.19973,1.12183,0.84218,0.57895,0.63063,0.35064,1.62222,1.32187,1.23045,0.0005348,0.0005348,0.0005348
76,194.729,1.47938,1.27766,1.13609,0.79618,0.56579,0.62581,0.33985,1.63111,1.3732,1.23442,0.000515,0.000515,0.000515
77,197.85,1.5557,1.3019,1.14186,0.79618,0.56579,0.62581,0.33985,1.63111,1.3732,1.23442,0.0004952,0.0004952,0.0004952
